GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0048518,0.6474,2,-0.0783,8588,8544,17132,1,0.9974,bp,0,0.0001,Aug,92.1519
GO:0050794,0.6299,2,-0.067,14862,14886,29748,1,0.9992,bp,0,0.0001,Aug,488.7919
GO:0048519,0.609,2,-0.1228,9570,9657,19227,1,0.9955,bp,0,0.0001,Aug,58.0655
GO:0048513,0.7482,2,0.0718,3396,3411,6807,1,0.9978,bp,0,0.0001,Aug,39.1574
GO:0043412,0.7039,2,0.0284,4867,4869,9736,1,0.9998,bp,0,0.0001,Aug,35.9662
GO:0006139,0.6839,2,0.0331,7062,7098,14160,1,0.9975,bp,0,0.0001,Aug,61.3809
GO:0019538,0.7048,2,0.0066,7295,7285,14580,1,0.9993,bp,0,0.0001,Aug,125.8613
GO:0048522,0.6444,2,-0.0638,8134,8096,16230,1,0.9977,bp,0,0.0001,Aug,85.9191
GO:0019222,0.6665,2,-0.0553,8016,7982,15998,1,0.9979,bp,0,0.0001,Aug,105.2053
GO:0048523,0.6104,2,-0.082,8870,8831,17701,1,0.9978,bp,0,0.0001,Aug,111.098
GO:0007423,0.6444,2,0.0277,2908,2904,5812,1,0.9993,bp,0,0.0001,Aug,50.4278
GO:0090304,0.7188,2,-0.0438,4524,4546,9070,1,0.9976,bp,0,0.0001,Aug,22.0309
GO:0036211,0.7677,2,0.0215,4668,4665,9333,1,0.9997,bp,0,0.0001,Aug,107.7365
GO:0009893,0.6343,2,-0.1007,4012,4003,8015,1,0.9989,bp,0,0.0001,Aug,43.8762
GO:0060255,0.6883,2,-0.0172,7161,7194,14355,1,0.9977,bp,0,0.0001,Aug,175.4054
GO:0009892,0.6438,2,-0.0996,4805,4823,9628,1,0.9981,bp,0,0.0001,Aug,68.9095
GO:0006259,0.6445,2,-0.0531,2617,2631,5248,1,0.9973,bp,0,0.0001,Aug,40.6898
GO:0016070,0.6686,2,-0.1225,2822,2795,5617,1,0.9952,bp,0,0.0001,Aug,91.8403
GO:0018193,0.6692,2,-0.1096,3517,3526,7043,1,0.9987,bp,0,0.0001,Aug,100.9899
GO:0010605,0.6768,2,-0.0187,4439,4408,8847,1,0.9965,bp,0,0.0001,Aug,90.1091
GO:0043170,0.6436,3,-0.0836,7750,7721,15471,1,0.9981,bp,0,0.0001,Aug,79.2244
GO:0044238,0.6335,3,-0.0648,11295,11203,22498,1,0.9959,bp,0,0.0001,Aug,243.4382
GO:0048518,0.679,3,0.0765,8588,8544,17132,1,0.9974,bp,0,0.0001,Aug,99.1852
GO:0050794,0.631,3,-0.1063,14862,14886,29748,1,0.9992,bp,0,0.0001,Aug,505.0941
GO:0048519,0.6444,3,-0.0441,9570,9657,19227,1,0.9955,bp,0,0.0001,Aug,111.2379
GO:0048513,0.725,3,-0.0007,3396,3411,6807,1,0.9978,bp,0,0.0001,Aug,14.7235
GO:0043412,0.7263,3,0.0294,4867,4869,9736,1,0.9998,bp,0,0.0001,Aug,142.6399
GO:0006139,0.6538,3,-0.078,7062,7098,14160,1,0.9975,bp,0,0.0001,Aug,34.4737
GO:0019538,0.7263,3,0.0499,7295,7285,14580,1,0.9993,bp,0,0.0001,Aug,98.9409
GO:0048522,0.6183,3,-0.0572,8134,8096,16230,1,0.9977,bp,0,0.0001,Aug,71.7978
GO:0019222,0.6617,3,0.0109,8016,7982,15998,1,0.9979,bp,0,0.0001,Aug,59.8861
GO:0048523,0.618,3,-0.0802,8870,8831,17701,1,0.9978,bp,0,0.0001,Aug,125.8012
GO:0007423,0.7455,3,0.0373,2856,2871,5727,1,0.9974,bp,0,0.0001,Aug,12.4272
GO:0090304,0.7555,3,0.0337,4524,4546,9070,1,0.9976,bp,0,0.0001,Aug,154.5708
GO:0036211,0.7323,3,0.0399,4323,4309,8632,1,0.9984,bp,0,0.0001,Aug,102.9876
GO:0009893,0.6207,3,0.004,4012,4003,8015,1,0.9989,bp,0,0.0001,Aug,28.0484
GO:0060255,0.6768,3,-0.0858,7161,7194,14355,1,0.9977,bp,0,0.0001,Aug,189.6702
GO:0009892,0.6567,3,-0.0895,4804,4797,9601,1,0.9993,bp,0,0.0001,Aug,62.2386
GO:0006259,0.7025,3,-0.0325,2618,2672,5290,1,0.9898,bp,0,0.0001,Aug,59.77
GO:0016070,0.7312,3,0.0257,2844,2817,5661,1,0.9952,bp,0,0.0001,Aug,96.7606
GO:0018193,0.6877,3,-0.0557,3279,3285,6564,1,0.9991,bp,0,0.0001,Aug,96.6855
GO:0010605,0.5202,3,-0.1774,4164,4164,8328,1,1,bp,0,0.0001,Aug,26.6332
GO:0043412,0.7128,4,-0.0144,4867,4869,9736,1,0.9998,bp,0,0.0001,Aug,143.0015
GO:0006139,0.694,4,-0.0043,7062,7098,14160,1,0.9975,bp,0,0.0001,Aug,125.3207
GO:0019538,0.6726,4,0.0701,3946,3972,7918,1,0.9967,bp,0,0.0001,Aug,112.4568
GO:0048522,0.6502,4,-0.0871,6757,6761,13518,1,0.9997,bp,0,0.0001,Aug,27.8891
GO:0019222,0.6888,4,0.0003,8016,7982,15998,1,0.9979,bp,0,0.0001,Aug,54.0562
GO:0048523,0.6616,4,-0.0641,8870,8831,17701,1,0.9978,bp,0,0.0001,Aug,73.0786
GO:0007423,0.7312,4,0.0343,1534,1547,3081,1,0.9958,bp,0,0.0001,Aug,7.2255
GO:0090304,0.6834,4,-0.0484,4524,4546,9070,1,0.9976,bp,0,0.0001,Aug,18.8051
GO:0036211,0.7093,4,0.0329,4324,4325,8649,1,0.9999,bp,0,0.0001,Aug,72.2587
GO:0009893,0.6259,4,-0.0496,4012,4003,8015,1,0.9989,bp,0,0.0001,Aug,34.9674
